squirrel_id,grid_year,grid,yearn,experiment,mid,locx,locy,litter,nest,n_pups,date,julian_date,year,t_return,return_lat,t_move,m_return,observer,nest_type,cones_counts,mustelid_tracks,LRS,ARS,mom_age,predator,locX,month,locY,local.density,scaled_lat,males,dist,age_sq,litter_id,average_growth,scaled_julian_date,scaled_pups,scaled_density,latency_transformed
13228,JO_2017,JO,2017,preg GC,A4,A.0,4,1,2,2,5/21/17,141,nonmast,NA,420,NA,n,BMT/ARM,wb,0.294117647,19,2,0,5,low predator,1,5,4,2.071839496,0.735397158,1.318443316,0,25,7711,NA,-0.124300508,-0.61186946,0.404875844,0.687933323
13228,JO_2016,JO,2016,preg control,A4,A.0,4,1,1,3,3/29/16,89,nonmast,NA,420,NA,n,FVK,grass,0,19,2,0,5,low predator,1,3,4,0,0.735397158,0,0,25,7025,NA,-1.90082195,0.326427374,-0.653099482,0.687933323
20184,AG_2017,AG,2017,food,A14.,A.0,14.5,1,2,3,6/8/17,159,nonmast,NA,420,NA,n,MMS/MCS,wb,1.563492063,19,1,0,3,low predator,1,6,14.5,0,0.735397158,0,0.98488578,9,7766,NA,1.743334522,0.160363944,-1.028646157,0.687933323
20184,AG_2017,AG,2017,food,A14.,A.0,14.5,1,1,3,5/7/17,127,nonmast,402,402,472,y,JGR/JBF,grass,1.563492063,19,1,0,3,low predator,1,5,14.5,2.071839496,0.603420299,0.75339618,0.98488578,9,7766,NA,-0.003586288,0.160363944,0.388328028,0.593883023
21941,BT_2017,BT,2017,lac GC,A2.,A.0,2.5,1,2,1,6/14/17,165,nonmast,NA,420,NA,n,ZCF,wb,NA,19,0,0,3,low predator,1,6,2.5,0,0.735397158,0,NA,9,7940,NA,1.002229278,-2.018850232,-0.756036516,0.687933323
21941,BT_2017,BT,2017,lac GC,A2.,A.0,2.5,1,1,1,5/30/17,150,nonmast,NA,420,NA,n,SWK,grass,NA,19,0,0,3,low predator,1,5,2.5,2.260188541,0.735397158,0,NA,9,7940,NA,0.002083637,-2.018850232,1.069862995,0.687933323
22005,AG_2017,AG,2017,food,A2,A.0,2,1,2,2,5/23/17,143,nonmast,135,135,145,y,NA,grass,1.563492063,19,0,0,3,low predator,1,5,2,2.448537586,-1.35423644,1.318443316,0.2,9,7849,NA,0.869874117,-1.212752326,0.645959698,-1.192156249
22005,AG_2017,AG,2017,food,A2,A.0,2,1,1,2,4/24/17,114,nonmast,157,157,230,y,HLS/MJD,wb,1.563492063,19,0,0,3,low predator,1,4,2,0,-1.19293139,0,0.2,9,7849,NA,-0.713272867,-1.212752326,-1.028646157,-0.999164996
22108,AG_2017,AG,2017,food,A18,A.0,18,1,2,2,5/16/17,136,nonmast,NA,420,NA,n,NA,wb,1.563492063,19,1,1,2,low predator,1,5,18,3.390282811,0.735397158,1.506792361,0.2,4,8035,NA,0.48773519,-1.212752326,1.290038872,0.687933323
22108,AG_2017,AG,2017,food,A18,A.0,18,1,1,2,4/25/17,115,nonmast,NA,420,NA,n,NA,wb,1.563492063,19,1,1,2,low predator,1,4,18,0,0.735397158,0,0.2,4,8035,NA,-0.658681592,-1.212752326,-1.028646157,0.687933323
