,squirrel_id,X,grid_year,grid,yearn,experiment,mid,locx,locy,litter,nest,n_pups,date,julian_date,year,t_return,return_lat,t_move,m_return,observer,nest_type,cones_counts,mustelid_tracks,LRS,ARS,mom_age,predator,locX,month,locY,local.density,scaled_lat,males,dist,age_sq,litter_id,average_growth,oft1,mis1
3,8330,271,KL_2008,KL,2008,control,J11,J.0,11,1,1,3,4/24/08,115,nonmast,NA,420,NA,n,NA,NA,38.53571429,329,3,0,3,high predator,10,4,11,0,0.735397158,0,0.583095189,9,4172,NA,-1.353790526,-0.343661512
4,8330,270,KL_2008,KL,2008,control,J11,J.0,11,1,2,3,5/21/08,142,nonmast,420,420,458,y,NA,NA,38.53571429,329,3,0,3,high predator,10,5,11,2.448537586,0.735397158,1.506792361,0.583095189,9,4172,NA,-1.353790526,-0.343661512
5,8385,375,KL_2008,KL,2008,control,M14,M.0,14,1,1,3,4/30/08,121,nonmast,NA,420,NA,n,NA,NA,38.53571429,329,0,0,1,high predator,13,4,14,0,0.735397158,0,1.077032961,1,4173,NA,2.31582898,0.487062093
6,8385,374,KL_2008,KL,2008,control,M14,M.0,14,1,2,3,5/25/08,146,nonmast,NA,420,NA,n,rwt,NA,38.53571429,329,0,0,1,high predator,13,5,14,1.318443316,0.735397158,0.37669809,1.077032961,1,4173,NA,2.31582898,0.487062093
9,8576,707,KL_2008,KL,2008,control,"0,15",0,15,1,1,4,4/17/08,108,nonmast,120,120,138,y,rwt,NA,38.53571429,329,11,0,4,high predator,0,4,15,0,-1.464217156,0,1.720465053,16,4176,NA,2.561668469,3.367411475
10,8592,800,KL_2008,KL,2008,control,-612,-6,12,1,1,4,4/15/08,106,nonmast,355,355,391,y,rwt,NA,38.53571429,329,0,0,3,high predator,-6,4,12,0.188349045,0.258814057,0.188349045,1.414213562,9,4177,NA,0.96052564,-1.042707921
11,8648,507,KL_2008,KL,2008,control,K.17,K.5,17,2,1,3,6/18/08,170,nonmast,NA,420,NA,n,NA,NA,38.53571429,329,2,0,3,high predator,16.5,6,17,0,0.735397158,0,5.255473337,9,4180,NA,2.591230983,1.508963025
12,8648,506,KL_2008,KL,2008,control,K.17,K.5,17,2,2,3,7/12/08,194,nonmast,124,124,142,y,bjd,NA,38.53571429,329,2,0,3,high predator,16.5,7,17,0,-1.434888965,0,4.204759208,9,4180,NA,2.591230983,1.508963025
13,8648,508,KL_2008,KL,2008,control,K.17,K.5,17,1,1,4,4/29/08,120,nonmast,30,30,60,y,NA,NA,38.53571429,329,2,0,3,high predator,16.5,4,17,0,-2.12410145,0,5.255473337,9,4179,NA,2.591230983,1.508963025
15,8727,26,KL_2008,KL,2008,control,A10.,A.0,10.5,1,2,2,5/22/08,143,nonmast,NA,420,NA,n,NA,NA,38.53571429,329,8,0,4,high predator,1,5,10.5,2.071839496,0.735397158,1.506792361,1.13137085,16,4182,NA,-0.851635405,-1.671260137
16,8727,27,KL_2008,KL,2008,control,A10.,A.0,10.5,1,1,4,4/28/08,119,nonmast,NA,420,NA,n,NA,NA,38.53571429,329,8,0,4,high predator,1,4,10.5,0,0.735397158,0,1.13137085,16,4182,NA,-0.851635405,-1.671260137
17,8732,809,KL_2008,KL,2008,control,-711,-7,11,1,2,2,5/21/08,142,nonmast,32,32,186,y,NA,NA,38.53571429,329,0,0,2,high predator,-7,5,11,2.260188541,-2.109437354,1.695141406,0,4,4183,NA,0.715781439,-1.928635904
18,8732,810,KL_2008,KL,2008,control,-711,-7,11,1,1,2,4/26/08,117,nonmast,NA,NA,NA,NA,NA,NA,38.53571429,329,0,0,2,high predator,-7,4,11,0.188349045,NA,0.188349045,0,4,4183,NA,0.715781439,-1.928635904
19,8733,69,KL_2008,KL,2008,control,C13,C.0,13,1,1,3,5/3/08,124,nonmast,225,225,249,y,NA,NA,38.53571429,329,0,0,3,high predator,3,5,13,1.883490451,-0.694352146,0.941745225,1.360147051,9,4184,1.658333333,0.329058388,-0.048740909
20,8733,68,KL_2008,KL,2008,control,C13,C.0,13,1,2,3,5/27/08,148,nonmast,220,220,240,y,NA,NA,38.53571429,329,0,0,3,high predator,3,5,13,1.883490451,-0.731012385,0.941745225,1.360147051,9,4184,1.658333333,0.329058388,-0.048740909
21,10131,478,KL_2008,KL,2008,control,P1,P.0,1,1,1,3,4/10/08,101,nonmast,NA,420,NA,n,rwt,NA,38.53571429,329,6,0,3,high predator,16,4,1,0,0.735397158,0,0.509901951,9,4185,NA,2.775037159,-2.487401242
22,10131,477,KL_2008,KL,2008,control,P1,P.0,1,1,2,3,5/5/08,126,nonmast,NA,420,NA,n,NA,NA,38.53571429,329,6,0,3,high predator,16,5,1,0.941745225,0.735397158,0.565047135,0.509901951,9,4185,NA,2.775037159,-2.487401242
23,10133,22,SU_2009,SU,2009,control,A3,A.0,3,1,1,3,6/9/09,160,nonmast,NA,420,NA,n,NA,NA,3.058139535,314,10,1,4,high predator,1,6,3,0,0.735397158,0,0.3,16,4546,NA,-0.378104072,0.108173803
24,10133,21,SU_2009,SU,2009,control,A3,A.0,3,1,2,3,7/4/09,185,nonmast,85,85,117,y,NA,NA,3.058139535,314,10,1,4,high predator,1,7,3,0.188349045,-1.720838826,0.188349045,3.551056181,16,4546,NA,-0.378104072,0.108173803
25,10137,752,KL_2008,KL,2008,control,-24,-2,4,1,2,1,5/5/08,126,nonmast,NA,420,NA,n,NA,NA,38.53571429,329,3,1,3,high predator,-2,5,4,1.695141406,0.735397158,0.75339618,2.9,9,4186,1.692307692,2.666045616,4.525639456
26,10137,753,KL_2008,KL,2008,control,-24,-2,4,1,1,4,4/9/08,100,nonmast,NA,NA,NA,y,NA,NA,38.53571429,329,3,1,3,high predator,-2,4,4,0,NA,0,2.9,9,4186,1.692307692,2.666045616,4.525639456
27,10137,761,KL_2009,KL,2009,control,-2.4.,-2.5,4.5,1,1,5,6/11/09,162,nonmast,NA,420,NA,n,NA,NA,12.08333333,314,3,0,4,high predator,-2.5,6,4.5,0,0.735397158,0,0.1,16,4458,NA,2.666045616,4.525639456
28,10137,760,KL_2009,KL,2009,control,-2.4.,-2.5,4.5,1,2,5,7/6/09,187,nonmast,NA,420,NA,n,NA,NA,12.08333333,314,3,0,4,high predator,-2.5,7,4.5,0.188349045,0.735397158,0,0.1,16,4458,NA,2.666045616,4.525639456
29,10140,574,KL_2008,KL,2008,control,M.12.,M.5,12.5,1,2,3,5/5/08,126,nonmast,NA,420,NA,n,NA,NA,38.53571429,329,5,1,3,high predator,18.5,5,12.5,0.188349045,0.735397158,0,6.212889827,9,4187,2.08,0.991259332,-2.487401242
30,10140,571,KL_2009,KL,2009,control,M.12.,M.5,12.5,1,1,4,5/12/09,132,nonmast,NA,420,NA,n,NA,NA,12.08333333,314,5,0,4,high predator,18.5,5,12.5,0,0.735397158,0,4.901020302,16,4459,NA,0.991259332,-2.487401242
